Anurolimnas fasciatus_Back-banded Crake
Anurolimnas viridis_Rsset-crowned Crake
Apalis alticola_Ruskopääapali
Apalis chapini_Tansanianapali
Apalis cinerea_Ruskopääapali
Apalis flavida_Keltarinta-apali
Apalis jacksoni_Valkoviiksiapali
Apalis melanocephala_Mustaselkäapali
Apalis personata_Vuoriapali
Apalis porphyrolaema_Ruskokurkkuapali
Apalis ruddi_Ranta-apali
Apalis rufogularis_Valkopyrstöapali
Apalis sharpii_Guineanapali
Apalis thoracica_Jokiapali
Apaloderma narina_Afrikantrogoni
Apaloderma vittatum_Viirupyrstötrogoni
Aphanotriccus audax_Oliivisieppari
Aphanotriccus capitalis_Ruosterintasieppari
Aphantochroa cirrochloris_Smbre Hummingbird
Aphelocephala leucopsis_Valkonaamamaluri
Aphelocoma californica_kalifornianpensasnärhi
Aphelocoma coerulescens_Floridanpensasnärhi
Aphelocoma insularis_Isopensasnärhi
Aphelocoma ultramarina_Vuoripensasnärhi
Aphelocoma unicolor_Sinipensasnärhi
Aphelocoma wollweberi_meksikonpensasnärhi
Aphelocoma woodhouseii_Katajapensasnärhi
Aphrastura spinicauda_Andientulikulma
Apis mellifera_Tarhamehiläinen
Aplonis atrifusca_Samoankottarainen
Aplonis cantoroides_Pikikottarainen
Aplonis grandis_Salomoninkottarainen
Aplonis metallica_Viherkottarainen
Aplonis mysolensis_Molukkienkottarainen
Aplonis opaca_Mikronesiankottarainen
Aplonis panayensis_Kiiltokottarainen
Aplonis tabuensis_Polynesiankottarainen
Aprositornis disjuncta_Venezuelanmuura
Aprosmictus erythropterus_Epolettikaija
Aptenodytes patagonicus_kuningaspingviini
Apteryx mantelli_Pohjoissaarenruskokiivi
Apus affinis_Pikkukiitäjä
Apus apus_tervapääsky
Apus caffer_kafferikiitäjä
Apus melba_alppikiitäjä
Apus nipalensis_Idänpikkukiitäjä
Apus pacificus_Aasiankiitäjä
Apus pallidus_vaaleakiitäjä
Apus unicolor_Madeirankiitäjä
Aquila adalberti_iberiankeisarikotka
Aquila chrysaetos_maakotka
Aquila heliaca_keisarikotka
Aquila nipalensis_arokotka
Ara ambiguus_Panamanara
Ara ararauna_Sinikelta-ara
Ara chloropterus_Vihersiipiara
Ara glaucogularis_Sinikurkkuara
Ara macao_Puna-ara
Ara militaris_Smaragdiara
Ara severus_Valkonaama-ara
Arachnothera chrysogenys_Kultakorvalukkinen
