Antigone antigone_jeřáb Antigonin
Antigone canadensis_jeřáb kanadský
Antigone rubicunda_jeřáb australský
Antigone vipio_jeřáb červenolící
Antilophia bokermanni_Peipulka Bokermannova
Antilophia galeata_Peipulka přílbová
Antrostomus arizonae_lelek volavý
Antrostomus badius_lelek yukatanský
Antrostomus carolinensis_lelek karolinský
Antrostomus noctitherus_lelek portorický
Antrostomus ridgwayi_lelek středoamerický
Antrostomus rufus_lelek rezavý
Antrostomus salvini_lelek Salvinův
Antrostomus saturatus_lelek šerý
Antrostomus sericocaudatus_lelek hedvábný
Antrostomus vociferus_lelek křiklavý
Anumara forbesi_Velhovec tropický
Anumbius annumbi_Hernčiřík sběrač
Anurolimnas castaneiceps_chřástal rezavohlavý
Anurolimnas fasciatus_chřástal černopásý
Anurolimnas viridis_chřástal šedolící
Apalis alticola_Brown-headed Apalis
Apalis chapini_Perinie kaštanovoprsá
Apalis cinerea_Perinie středoafrická
Apalis flavida_Perinie žlutoprsá
Apalis jacksoni_Black-throated Apalis
Apalis melanocephala_Perinie černohlavá
Apalis personata_Perinie ugandská
Apalis porphyrolaema_Perinie horská
Apalis ruddi_Perinie šedohlavá
Apalis rufogularis_Perinie ostrohlasá
Apalis sharpii_Perinie tmavošedá
Apalis thoracica_Perinie světleoká
Apaloderma narina_trogon africký
Apaloderma vittatum_trogon horský
Aphanotriccus audax_Teyranovec černozobý
Aphanotriccus capitalis_Teyranovec středoamerický
Aphantochroa cirrochloris_Sombre Hummingbird
Aphelocephala leucopsis_Setřízlíkovec tlustozobý
Aphelocoma californica_Seojka západní
Aphelocoma coerulescens_Seojka křovinná
Aphelocoma insularis_Seojka ostrovní
Aphelocoma ultramarina_Seojka mexická
Aphelocoma unicolor_Seojka jednobarvá
Aphelocoma wollweberi_Mexican Jay
Aphelocoma woodhouseii_Woodhouse's Scrub-Jay
Aphrastura spinicauda_Hernčiřík ostnoocasý
Apis mellifera_Včela medonosná
Aplonis atrifusca_Šepaček samojský
Aplonis cantoroides_Šepaček zpěvný
Aplonis grandis_Šepaček šalomounský
Aplonis metallica_Šepaček lesklý
Aplonis mysolensis_Šepaček molucký
Aplonis opaca_Šepaček mikronéský
Aplonis panayensis_Šepaček rudooký
Aplonis tabuensis_Šepaček polynéský
Aprositornis disjuncta_Meravenčík venezuelský
Aprosmictus erythropterus_papoušek červenokřídlý
Aptenodytes patagonicus_tučňák patagonský
Apteryx mantelli_kivi hnědý
Apus affinis_rorýs domovní
Apus apus_rorýs obecný
Apus caffer_rorýs kaferský
Apus melba_rorýs velký
Apus nipalensis_rorýs domácí
Apus pacificus_rorýs východoasijský
Apus pallidus_rorýs šedohnědý
Apus unicolor_rorýs jednobarvý
Aquila adalberti_orel iberský
Aquila chrysaetos_orel skalní
Aquila heliaca_orel královský
Aquila nipalensis_orel stepní
Ara ambiguus_Ara zelený
Ara ararauna_Aera ararauna
Ara chloropterus_Aera zelenokřídlý
Ara glaucogularis_Ara kaninda
Ara macao_Aera arakanga
Ara militaris_Aera vojenský
Ara severus_Aera malý
Arachnothera chrysogenys_Yellow-eared Spiderhunter
Arachnothera crassirostris_Thick-billed Spiderhunter
Arachnothera everetti_Setrdimil bornejský
Arachnothera flavigaster_Setrdimil brýlový
Arachnothera longirostra_Setrdimil bělavohrdlý
Arachnothera magna_Setrdimil proužkovaný
Aramides albiventris_chřástal středoamerický
